transaction,category
BANK MONTHLY MAINTENANCE FEE,Bills
Publix Grocery Store,Groceries
Uber Ride Downtown,Travel
WHOLE FOODS MARKET 0457,Groceries
BOL.COM ONLINE ORDER 7493,Shopping
NETFLIX.COM 123456,Entertainment
TIM HORTONS PURCHASE,Dining
Le Pain Quotidien Paris,Dining
SPOTIFY USA 123456,Entertainment
WALMART SUPERCENTER #1288,Groceries
Apple Music Subscription,Entertainment
Uber Eats Order #9394,Dining
WHOLE FOODS MKT #102,Groceries
APPLE.COM/BILL 3322,Bills
YouTube Premium Subscription,Entertainment
APPLE.COM BILLING,Entertainment
Barnes & Noble Bookstore,Shopping
Amazon.com Order #112-998,Shopping
NETFLIX.COM SUBSCRIPTION,Entertainment
AMAZON MKTPLACE PMTS 1234,Shopping
Lufthansa Ticket Purchase,Travel
TARGET STORE 3321,Groceries
WHOLE FOODS MARKET 0456,Groceries
PRET A MANGER,Dining
Walmart Grocery Pickup,Groceries
DEUTSCHE BAHN TICKET,Travel
SPOTIFY NOV 2023,Entertainment
Netflix Monthly Subscription,Entertainment
Paris Metro Ticket,Travel
UBER EATS ORDER,Dining
UBER TRIP 4321,Travel
Whole Foods Purchase,Groceries
MediaMarkt Electronics,Shopping
Uber Eats Food Delivery,Dining
Uber Trip #3934,Travel
COSTCO GAS STATION 8811,Travel
Hulu Subscription,Entertainment
Uber Ride,Travel
SPOTIFY PREMIUM 2023,Entertainment
TARGET 1234,Shopping
UBER TRIP 0911,Travel
AMAZON MKTPLACE PMT 10/03,Shopping
Car Payment - Ally Bank,Travel
APPLE.COM/BILL 1122,Entertainment
COSTCO WHOLESALE #122,Groceries
Trader Joe's Groceries,Groceries
NORDSTROM ONLINE SHOP,Shopping
Netflix Subscription,Entertainment
Spotify Subscription,Entertainment
AppleCare Service Fee,Shopping
SPOTIFY SUBSCRIPTION 4321,Entertainment
AMAZON EU SARL 2023,Shopping
AMC Theaters Movie,Entertainment
MediaMarkt Electronics,Shopping
TRADER JOE'S #123,Groceries
UBER TRIP 0912,Travel
Spotify Subscription,Entertainment
Starbucks Coffee,Dining
Spotify monthly charge,Entertainment
UBER RIDE 11/18,Travel
Shell Gas Station,Travel
Pandora Music Subscription,Entertainment
HULU MONTHLY SUBSCRIPTION,Entertainment
LIDL SUPERMARKT,Groceries
Kroger Grocery,Groceries
Uber Eats Order,Dining
Target Superstore Bill,Groceries
UBER RIDE PARIS,Travel
Apple.com Subscription,Entertainment
LONDON UNDERGROUND,Travel
SPOTIFY SEP 2023,Entertainment
SPOTIFY USA 889911,Entertainment
UBER EATS ORDER 2384,Dining
Apple App Store Purchase,Entertainment
APPLE.COM/BILL 9876,Entertainment
Uber Ride Airport,Travel
NS DUTCH RAILWAYS 8482,Travel
TRADER JOE'S #558,Groceries
SAFEWAY #3421,Groceries
Amazon Prime Membership,Entertainment
Uber Ride,Travel
Lyft Ride,Travel
Netflix Monthly Subscription,Entertainment
Best Buy Electronics,Shopping
Indigo Parking Payment,Travel
LUFTHANSA AIR TICKET 001,Travel
Amazon Online Shopping,Shopping
DELTA AIRLINES TICKET,Travel
UBER TRIP 09OCT2023,Travel
Spotify Family Subscription,Entertainment
Walmart Supercenter Purchase,Groceries
KROGER #5547,Groceries
Amazon.com Electronics,Shopping
Target In-Store Shopping,Shopping
Starbucks Coffee,Dining
Berlin S-Bahn Ticket,Travel
STARBUCKS 11/15,Dining
DEEZER PREMIUM OCT,Entertainment
Starbucks Amsterdam,Dining
Hulu Monthly Subscription,Entertainment
